municipality_id,municipality_code,municipality_name_en,municipality_name_np,district_id,is_active
109,KHU,KHUMBU PASANG LAMHU,खुम्वु पासाङल्हमु,11,Y
337,KIR,KIRTIPUR,कीर्तिपुर,30,Y
349,KIP,KISPANG,किस्पाङ,31,Y
580,KOH,KOHALPUR,कोहलपुर,56,Y
247,KOL,KOLHABI,कोल्हवी,21,Y
328,KON,KONJYOSOM,कोन्ज्योसोम,28,Y
67,KOS,KOSHI,कोशी,6,Y
517,KOT,KOTAHIMAI,कोटहीमाई,49,Y
529,KRI,KRISHNANAGAR,कृष्णनगर,50,Y
727,KRS,KRISHNAPUR,कृष्णपुर,72,Y
176,KSH,KSHIRESHWORNATH,क्षिरेश्वरनाथ,17,Y
603,KUM,KUMAKH,कुमाख,58,Y
14,KUA,KUMMAYAKA,कुम्मायाक ,2,Y
628,KUS,KUSE,कुसे,61,Y
455,KUH,KUSHMA,कुश्मा,44,Y
410,KWH,KWHOLASOTHAR,क्व्होलासोथार,37,Y
158,LAH,LAHAN,लहान,16,Y
214,LAL,LALBANDI,लालबन्दी,19,Y
83,LAI,LALIGURANS,लालीगुराँस,8,Y
325,LAT,LALITPUR,ललितपुर,28,Y
729,LAJ,LALJHADI,लालझाडी,72,Y
571,LAM,LAMAHI,लमही,55,Y
711,LAK,LAMKI-CHUHA,लम्कीचुहा,71,Y
189,LAX,LAXMINIYA,लक्ष्मीनिया,17,Y
170,LAP,LAXMIPUR PATARI,लक्ष्मीपुर पतारी,16,Y
754,LEK,LEKAM,लेकम,75,Y
609,LEB,LEKBESI,लेकवेशी,59,Y
45,LET,LETANG,लेटाङ,5,Y
121,LIK,LIKHU,लिखु,12,Y
354,LIH,LIKHU,लिखु,31,Y
113,LIU,LIKHU PIKE,लिखु पिके ,11,Y
288,LIT,LIKHU TAMAKOSHI,लिखु तामाकोशी,24,Y
140,LIM,LIMCHUNGBUNG,लिम्चुङ्बुङ,14,Y
308,LIS,LISANKHU PAKHAR,लिसङ्खु पाखर,26,Y
446,LOG,LO-GHEKAR DAMODARKUNDA,लो-घेकर दामोदरकुण्ड,42,Y
198,LOH,LOHARPATTI,लोहरपट्टी,18,Y
447,LOM,LOMANTHANG,लोमन्थाङ,42,Y
511,LUM,LUMBINI SANSKRITIK,लुम्बिनी सांस्कृतिक,49,Y
555,LUN,LUNGRI,लुङग्री,53,Y
437,MAC,MACHHAPUCHHRE,माछापुच्छ्रे,40,Y
497,MAD,MADANE,मदाने,47,Y
239,MAH,MADHAV NARAYAN,माधव नारायण,20,Y
588,MAU,MADHUWAN,मधुवन,57,Y
476,MAY,MADHYABINDU,मध्यविन्दु,46,Y
407,MAA,MADHYANEPAL,मध्यनेपाल,37,Y
333,MAP,MADHYAPUR THIMI,मध्यपुर थिमी,29,Y
91,MAI,MADI,मादी,9,Y
391,MAX,MADI,माडी,35,Y
438,MAZ,MADI,मादी,40,Y
553,MAB,MADI,माडी,53,Y
327,MAL,MAHA LAXMI,महालक्ष्मी,28,Y
323,MAR,MAHABHARAT,महाभारत,27,Y
622,MAO,MAHABU,महावु,60,Y
151,MAE,MAHADEVA,महादेवा,15,Y
249,MAG,MAHAGADHIMAI,महागढीमाई,21,Y
724,MAK,MAHAKALI,महाकाली,72,Y
747,MAW,MAHAKALI,महाकाली,75,Y
112,MAN,MAHAKULUNG,महाकुलुङ ,11,Y
74,MAM,MAHALAXMI,महालक्ष्मी ,7,Y
330,MAF,MAHANKAL,महाङ्काल,28,Y
528,MAJ,MAHARAJGUNJ,महाराजगंज,50,Y
459,MAS,MAHASHILA,महाशिला,44,Y
655,MAQ,MAHAWAI,महावै,64,Y
200,MAT,MAHOTTARI,महोत्तरी,18,Y
20,MAV,MAI,माई,3,Y
24,MRR,MAIJOGMAI,माई जोगमाई,3,Y
7,MGG,MAIWA KHOLA,मैवा खोला ,1,Y
95,MBB,MAKALU,मकालु ,9,Y
383,MDD,MAKWANPUR GADHI,मकवानपुरगढी,34,Y
213,MMM,MALANGAWA,मलंगवा,19,Y
540,MJJ,MALARANI,मालारानी,51,Y
